Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1218	2279,00	1229,00	1072,47	-166,59	5,00	2,35	
1219	2589,00	1230,00	1218,35	-167,06	18,00	8,47	
1220	808,00	1233,00	380,24	-168,47	9,00	4,24	
1221	899,00	1233,00	423,06	-168,47	6,00	2,82	
1222	1205,00	1235,00	567,06	-169,41	10,00	4,71	
1223	1460,00	1235,00	687,06	-169,41	5,00	2,35	
1224	2596,00	1237,00	1221,65	-170,35	17,00	8,00	
1225	1250,00	1238,00	588,24	-170,82	8,00	3,76	
1226	848,00	1239,00	399,06	-171,29	8,00	3,76	
1227	2511,00	1241,00	1181,65	-172,24	10,00	4,71	
1228	1274,00	1242,00	599,53	-172,71	6,00	2,82	
1229	2602,00	1243,00	1224,47	-173,18	18,00	8,47	
1230	1459,00	1244,00	686,59	-173,65	5,00	2,35	
1231	1545,00	1247,00	727,06	-175,06	6,00	2,82	
1232	2038,00	1249,00	959,06	-176,00	5,00	2,35	
1233	849,00	1249,00	399,53	-176,00	8,00	3,76	
1234	2655,00	1250,00	1249,41	-176,47	14,00	6,59	
1235	2739,00	1250,00	1288,94	-176,47	9,00	4,24	
1236	2037,00	1254,00	958,59	-178,35	5,00	2,35	
1237	2471,00	1253,00	1162,82	-177,88	6,00	2,82	
1238	739,00	1253,00	347,76	-177,88	16,00	7,53	
1239	2730,00	1253,00	1284,71	-177,88	9,00	4,24	
1240	2164,00	1255,00	1018,35	-178,82	7,00	3,29	
1241	2715,00	1255,00	1277,65	-178,82	8,00	3,76	
1242	2705,00	1258,00	1272,94	-180,24	10,00	4,71	
1243	2614,00	1260,00	1230,12	-181,18	24,00	11,29	
1244	2282,00	1261,00	1073,88	-181,65	7,00	3,29	
1245	2535,00	1262,00	1192,94	-182,12	7,00	3,29	
1246	2684,00	1261,00	1263,06	-181,65	13,00	6,12	
1247	1456,00	1266,00	685,18	-184,00	10,00	4,71	
1248	803,00	1265,00	377,88	-183,53	11,00	5,18	
1249	854,00	1264,00	401,88	-183,06	8,00	3,76	
1250	2468,00	1264,00	1161,41	-183,06	8,00	3,76	
1251	1246,00	1265,00	586,35	-183,53	7,00	3,29	
1252	2103,00	1267,00	989,65	-184,47	8,00	3,76	
1253	919,00	1266,00	432,47	-184,00	5,00	2,35	
1254	938,00	1266,00	441,41	-184,00	7,00	3,29	
1255	2465,00	1267,00	1160,00	-184,47	8,00	3,76	
1256	1020,00	1272,00	480,00	-186,82	6,00	2,82	
1257	2789,00	1271,00	1312,47	-186,35	34,00	16,00	
1258	972,00	1274,00	457,41	-187,76	5,00	2,35	
1259	742,00	1277,00	349,18	-189,18	10,00	4,71	
1260	1058,00	1274,00	497,88	-187,76	24,00	11,29	
1261	2809,00	1275,00	1321,88	-188,24	37,00	17,41	
1262	1468,00	1277,00	690,82	-189,18	8,00	3,76	
1263	2108,00	1278,00	992,00	-189,65	8,00	3,76	
1264	2473,00	1279,00	1163,76	-190,12	7,00	3,29	
1265	840,00	1279,00	395,29	-190,12	5,00	2,35	
1266	2153,00	1279,00	1013,18	-190,12	6,00	2,82	
