Создан как новый массив данных;Образец 001 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
2738,00;0,0467
2737,00;0,0467
2736,00;0,0467
2735,00;0,0467
2734,00;0,0467
2733,00;0,0467
2732,00;0,0467
2731,00;0,0467
2730,00;0,0467
2729,00;0,0467
2728,00;0,0467
2727,00;0,0467
2726,00;0,0467
2725,00;0,0468
2724,00;0,0468
2723,00;0,0468
2722,00;0,0468
2721,00;0,0468
2720,00;0,0468
2719,00;0,0468
2718,00;0,0468
2717,00;0,0468
2716,00;0,0468
2715,00;0,0468
2714,00;0,0468
2713,00;0,0468
2712,00;0,0468
2711,00;0,0468
2710,00;0,0468
2709,00;0,0468
2708,00;0,0468
2707,00;0,0468
2706,00;0,0468
2705,00;0,0468
2704,00;0,0468
2703,00;0,0468
2702,00;0,0468
2701,00;0,0468
2700,00;0,0468
2699,00;0,0468
2698,00;0,0468
2697,00;0,0468
2696,00;0,0468
2695,00;0,0468
2694,00;0,0468
2693,00;0,0468
2692,00;0,0468
2691,00;0,0468
2690,00;0,0468
2689,00;0,0468
2688,00;0,0468
2687,00;0,0468
2686,00;0,0468
2685,00;0,0468
2684,00;0,0468
2683,00;0,0468
2682,00;0,0468
2681,00;0,0468
2680,00;0,0468
2679,00;0,0468
2678,00;0,0468
2677,00;0,0468
2676,00;0,0468
2675,00;0,0468
2674,00;0,0468
2673,00;0,0468
2672,00;0,0468
2671,00;0,0468
2670,00;0,0468
2669,00;0,0468
2668,00;0,0468
2667,00;0,0468
2666,00;0,0468
2665,00;0,0469
2664,00;0,0469
2663,00;0,0469
2662,00;0,0469
2661,00;0,0470
2660,00;0,0470
2659,00;0,0470
2658,00;0,0470
2657,00;0,0470
2656,00;0,0470
2655,00;0,0470
2654,00;0,0470
2653,00;0,0470
2652,00;0,0470
2651,00;0,0470
2650,00;0,0470
2649,00;0,0470
2648,00;0,0470
2647,00;0,0470
2646,00;0,0470
2645,00;0,0470
2644,00;0,0470
2643,00;0,0470
2642,00;0,0470
2641,00;0,0470
2640,00;0,0470
2639,00;0,0470
2638,00;0,0470
2637,00;0,0469
2636,00;0,0469
2635,00;0,0469
2634,00;0,0469
2633,00;0,0469
2632,00;0,0469
2631,00;0,0469
2630,00;0,0469
